id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23633378,Cozy Scarborough home away from home,22135063,Nnenna,,Agincourt South-Malvern West,43.79052,-79.25257,Private room,100,3,0,,,1,87
23633730,Spacious bedroom with private balcony,151830841,Mon,,Weston-Pellam Park,43.66942,-79.457,Private room,38,7,4,2019-07-01,0.29,12,329
23634656,"Central, luxury, modern condo with Panoramic view",9710334,Madison,,Church-Yonge Corridor,43.65613,-79.37512,Entire home/apt,160,1,26,2019-06-22,2.27,1,6
23652178,6 Bed Private Multi-Room Residence on Dovercourt!,80369796,Jeff,,Dovercourt-Wallace Emerson-Junction,43.67023,-79.43214,Entire home/apt,195,7,1,2019-04-28,0.29,7,154
23652837,BEAUTIFUL AND FRIENDLY APARTMENT,43780966,Pilar,,Westminster-Branson,43.77418,-79.45566,Entire home/apt,119,1,10,2019-08-05,1.88,2,77
23653372,Bird nest,177084561,Franco And Alice,,Hillcrest Village,43.80193,-79.36734,Private room,45,1,9,2019-07-20,0.55,7,166
23654126,Casa one(1),177084561,Franco And Alice,,Hillcrest Village,43.79978,-79.3692,Private room,45,1,58,2019-08-04,3.43,7,47
23659798,Entire Apartment for long stays in Toronto,33475930,Shylo,,Morningside,43.78841,-79.19882,Entire home/apt,66,30,0,,,2,62
23660290,Bright and Cozy One Bedroom,953039,Marta,,Humewood-Cedarvale,43.68571,-79.42027,Entire home/apt,66,3,7,2018-10-08,0.45,1,43
23661808,Private room in Core Downtown,141310876,Gloria,,Moss Park,43.65174,-79.37035,Private room,56,3,30,2019-07-18,1.73,1,21
23663860,Cozy Bachelor close to Downtown!!,37734921,Antonio,,Broadview North,43.68573,-79.35522,Shared room,50,2,10,2019-07-14,0.59,1,252
23664382,Queen st - One bedroom apartment,7810249,Jay,,Little Portugal,43.64228,-79.42437,Entire home/apt,94,2,4,2018-07-07,0.24,1,0
23664613,Apartment in Victorian House Central Toronto,177150883,Thomas,,Moss Park,43.66285,-79.36868,Entire home/apt,89,3,29,2019-07-15,1.86,2,9
23665776,Modern Family Home in desirable Toronto location,50610533,George,,Oakwood Village,43.68166,-79.43615,Entire home/apt,397,3,36,2019-07-28,2.15,6,351
23667554,"Modern -Clean, Comfortable, Trendy Apt Toronto",50610533,George,,Oakwood Village,43.6821,-79.43655,Entire home/apt,131,2,42,2019-06-21,2.47,6,355
23668716,Private One Bedroom Basement Apartment,126933386,Rodica,,Briar Hill-Belgravia,43.70401,-79.44323,Entire home/apt,76,3,32,2019-07-15,1.94,2,5
23669528,Private floor with balcony in great location,45267051,Marc,,Moss Park,43.65832,-79.3656,Private room,84,2,48,2019-07-17,2.86,1,0
23670428,Newly Renovated Sweet House near Pacific Mall,40583994,Peng,,Milliken,43.82314,-79.26571,Entire home/apt,188,1,30,2019-07-20,1.79,3,242
23671503,Spacious apartment close to liberty village,47005696,Constance,,Little Portugal,43.64164,-79.42412,Entire home/apt,110,1,0,,,1,0
23673739,多大附近高级公寓主卧5-8月优惠出租,64481511,Sarah,,Annex,43.66735,-79.40178,Private room,51,5,0,,,1,0
23685845,Cosy condo in the heart of downtown,177397797,Deepika,,Waterfront Communities-The Island,43.64101,-79.38284,Entire home/apt,90,1,9,2018-10-14,0.53,1,0
23686179,Midtown Ellesmere/Kennedy Shared Room  MAN only,128444795,Yan,,Dorset Park,43.7633,-79.28491,Shared room,34,1,11,2019-07-23,0.74,18,365
23687436,Close to everywhere in Toronto,30928253,Ahmed,,Yorkdale-Glen Park,43.7157,-79.45179,Private room,45,2,27,2019-07-31,1.58,1,44
23687580,Cosy downtown Private Bedroom in Building Annex,117973942,Hanna,,University,43.66657,-79.40161,Private room,38,1,76,2019-06-27,5.27,1,1
23688835,"Victoria Village, Modern Two Bedroom with Parking",177436555,Britney,,Victoria Village,43.72984,-79.31461,Entire home/apt,69,3,55,2019-07-23,3.19,6,29
23694544,*Spacious comfortable Apt. PARKING & Queen Bed :-),29430244,Derek,,The Beaches,43.67277,-79.28688,Entire home/apt,60,28,8,2019-07-05,0.50,1,99
23697190,Private room close to down town and Subway(201),177508014,Alice,,Dovercourt-Wallace Emerson-Junction,43.66001,-79.44792,Private room,76,2,29,2019-07-31,1.76,3,127
23698112,Flat 3: Lofty living Roncy 5-Star (no parties),169137913,CK Homes,,High Park-Swansea,43.64696,-79.45199,Entire home/apt,149,3,18,2019-07-15,1.21,3,87
23698172,"Bright Modern Spacious, Private Basement Apartment",122291523,Gabrielle,,Clairlea-Birchmount,43.71376,-79.2899,Entire home/apt,66,10,30,2019-07-26,1.76,1,139
23702050,Comfort clean basement one,142866791,Githa,,Eglinton East,43.73776,-79.25259,Private room,38,1,27,2019-08-05,1.97,2,173
23706709,Your oasis in the entertainment District,66631663,Dana,,Waterfront Communities-The Island,43.64321,-79.38011,Entire home/apt,125,2,52,2019-06-20,3.15,4,56
23709992,Downtown house in the heart of Yorkville,770979,Andrea,,Annex,43.67597,-79.39271,Entire home/apt,150,25,2,2019-06-27,0.13,1,101
23711260,"New, Bright & Modern Suite in West Queen West",176945374,Ashot,,Niagara,43.64531,-79.40992,Entire home/apt,100,3,92,2019-08-06,5.47,1,111
23716314,Clean and Spacious,55324743,Monica,,Bathurst Manor,43.76093,-79.45617,Private room,65,1,0,,,2,179
23717521,Breathtaking Skyline Harbour Condo,177753325,Tony,,Waterfront Communities-The Island,43.64115,-79.37841,Entire home/apt,150,1,3,2019-06-17,0.17,1,0
23718648,Brand new spacious furnished townhome,42345138,Eric,,West Hill,43.76699,-79.17641,Entire home/apt,200,1,10,2019-07-27,0.61,2,120
23723979,Yonge & Bloor - Best Location - Free Parking,5502744,Anne,,Annex,43.67126,-79.38734,Entire home/apt,350,2,53,2019-07-21,3.21,3,156
23724212,Room to rent by night or month. Fort Yort Blvd.,177829866,Luis Reinaldo,,Niagara,43.63737,-79.4059,Private room,110,7,2,2018-03-13,0.12,2,158
23725522,"1 BR + Sofabed - Ent. District, MTCC, Jays",177845783,Ray,,Waterfront Communities-The Island,43.646,-79.39202,Entire home/apt,97,1,56,2019-06-14,3.34,1,0
23726292,Beautiful private space in Yorkville with a view,3849037,Wendy,,Annex,43.67613,-79.39381,Entire home/apt,90,2,0,,,2,0
23726638,Calm & curated home in vibrant Corso Italia.,8196256,Vass (Vasiliki),,Corso Italia-Davenport,43.68103,-79.44655,Entire home/apt,249,2,0,,,1,281
23726878,Cozy suite in New Toronto,177860514,Edita,,New Toronto,43.6006,-79.51625,Entire home/apt,75,1,42,2019-04-21,2.55,1,0
23728643,"NEW! 60% OFF. 2 Min To Transit, 20 Min Downtown",177882023,Brian,,Wychwood,43.67892,-79.43297,Private room,15,1,4,2018-03-31,0.24,1,0
23728852,2 Bedroom Penthouse in the center of downtown.,177886051,Andrew,,Niagara,43.63826,-79.40129,Entire home/apt,200,2,1,2018-04-02,0.06,1,0
23729704,Lake View + Downtown skyline luxury condo,82549417,Sarah,,Waterfront Communities-The Island,43.64234,-79.38157,Entire home/apt,169,1,1,2019-06-03,0.44,1,151
23730789,Downtown - 2 Bedroom Home in house Upper Unit,8821150,Deborah,,Church-Yonge Corridor,43.66171,-79.37783,Entire home/apt,105,4,30,2019-07-27,1.94,2,6
23731266,Modern Condo in the Heart of Downtown Toronto,115811249,Brittany,,Waterfront Communities-The Island,43.64085,-79.39756,Entire home/apt,110,2,2,2018-08-06,0.14,1,0
23732461,APARTMENT IN TRINITY BELLWOODS/LITTLE ITALY AREA,152025417,Darryl,,Trinity-Bellwoods,43.65108,-79.41287,Entire home/apt,105,2,48,2019-07-25,2.96,3,293
23732814,3 bedroom 2 story detached house,177938503,Gigi,,Milliken,43.81908,-79.26846,Entire home/apt,156,2,22,2019-06-16,1.41,1,6
23733139,Brand new house for 7 guests in downtown Toronto,152025417,Darryl,,Trinity-Bellwoods,43.65155,-79.4138,Entire home/apt,170,2,53,2019-07-21,3.20,3,304
23740721,Cozy apartment near subway station - No parking,40614977,Dario,,Taylor-Massey,43.69587,-79.2943,Entire home/apt,55,5,19,2019-07-30,1.12,2,0
23741771,HOTEL QUALITY*WEST ROOM*LUXE* PARKING INCL*,2523808,Jessica,,Moss Park,43.65636,-79.36861,Private room,150,2,33,2019-07-07,1.97,3,68
23743654,Modern & well appointed 1 BR lower level apartment,4094364,Ashwini,,Palmerston-Little Italy,43.66314,-79.41482,Entire home/apt,85,3,6,2019-07-04,0.49,2,216
